,title,director,actor1,actor2,actor3,genres
1,rust creek,Jen McGowan , Hermione Corfield, Jay Paulson, Sean O'Bryan,Thriller  Drama
2,american hangman,Wilson Coneybeare , Donald Sutherland, Vincent Kartheiser, Oliver Dennis,Thriller
3,a dog's way home,Charles Martin Smith , Bryce Dallas Howard, Edward James Olmos, Alexandra Shipp,Drama  Adventure  Family
4,the upside,Neil Burger , Bryan Cranston, Kevin Hart, Nicole Kidman,Comedy  Drama
5,replicas,Jeffrey Nachmanoff , Keanu Reeves,unknown,unknown,Thriller  Science Fiction
6,after darkness,Batán Silva , Natalia Dyer, Kyra Sedgwick, Tim Daly,Drama  Family  Thriller  Science Fiction
7,glass,M. Night Shyamalan , James McAvoy, Bruce Willis, Samuel L. Jackson,Thriller  Drama  Science Fiction
8,close,Vicky Jewson , Noomi Rapace, Sophie Nélisse, Indira Varma,Action  Thriller
9,the standoff at sparrow creek,Henry Dunham , James Badge Dale, Brian Geraghty,unknown,Drama  Thriller  Mystery
10,the final wish,Timothy Woodward Jr. , Lin Shaye, Michael Welch, Melissa Bolona,Horror
11,the kid who would be king,Joe Cornish , Louis Ashbourne Serkis, Dean Chaumoo, Tom Taylor,Action  Adventure  Fantasy  Family
12,serenity,Steven Knight , Matthew McConaughey, Anne Hathaway, Jason Clarke,Thriller  Mystery  Drama
13,i am mother,Grant Sputore ,Grant Sputore (director), Michael Lloyd Green (screenplay/story), Clara Rugaard,Science Fiction  Thriller
14,the vast of night,Andrew Patterson ,Andrew Patterson (director), James Montague, Craig W. Sanger (writers); Sierra McCormick,Mystery  Science Fiction  Drama  Thriller
15,miss bala,Catherine Hardwicke , Gina Rodriguez, Ismael Cruz Córdova, Anthony Mackie,Action
16,velvet buzzsaw,Dan Gilroy , Jake Gyllenhaal, Rene Russo, Toni Collette,Thriller  Mystery  Horror
17,piercing,Nicolas Pesce , Christopher Abbott, Mia Wasikowska, Laia Costa,Thriller  Horror  Mystery
18,the lego movie 2: the second part,Mike Mitchell , Chris Pratt, Elizabeth Banks, Tiffany Haddish,Action  Adventure  Animation  Comedy  Family
19,what men want,Adam Shankman , Taraji P. Henson, Tracy Morgan, Max Greenfield,Comedy  Romance
20,cold pursuit,Hans Petter Moland , Liam Neeson, Tom Bateman, Tom Jackson,Action  Crime  Thriller
21,high flying bird,Steven Soderbergh , André Holland, Zazie Beetz, Melvin Gregg,Drama
22,the prodigy,Nicholas McCarthy , Taylor Schilling, Peter Mooney, Colm Feore,Horror  Thriller
23,isn't it romantic,Todd Strauss-Schulson , Rebel Wilson, Liam Hemsworth, Adam DeVine,Comedy  Fantasy  Romance
24,happy death day 2u,Christopher Landon , Jessica Rothe, Israel Broussard, Phi Vu,Comedy  Horror  Science Fiction
25,alita: battle angel,Robert Rodriguez , Rosa Salazar, Christoph Waltz, Jennifer Connelly,Action  Science Fiction  Adventure
26,how to train your dragon: the hidden world,Dean DeBlois , Jay Baruchel, America Ferrera, Cate Blanchett,Animation  Family  Adventure
27,fighting with my family,Stephen Merchant , Florence Pugh, Lena Headey, Nick Frost,Comedy  Drama  History
28,tyler perry's a madea family funeral,Tyler Perry , Tyler Perry, Courtney Burrell, Patrice Lovely,Comedy
29,greta,Neil Jordan , Isabelle Huppert, Chloë Grace Moretz, Maika Monroe,Drama  Mystery  Thriller
30,triple frontier,J. C. Chandor , Ben Affleck, Oscar Isaac, Charlie Hunnam,Action  Thriller  Crime  Adventure
31,captain marvel,unknown, Brie Larson, Samuel L. Jackson, Ben Mendelsohn,Action  Adventure  Science Fiction
32,the kid,Vincent D'Onofrio , Ethan Hawke, Dane DeHaan, Jake Schur,Fantasy  Comedy  Family
33,wonder park,unknown, Brianna Denski, Ken Hudson Campbell, Matthew Broderick,Comedy  Animation  Adventure  Family  Fantasy
34,captive state,Rupert Wyatt , John Goodman, Ashton Sanders, Jonathan Majors,Science Fiction
35,nancy drew and the hidden staircase,Katt Shea , Sophia Lillis, Zoe Renee, Mackenzie Graham,Crime  Family  Comedy  Drama  Mystery
36,the aftermath,James Kent , Alexander Skarsgård, Keira Knightley, Jason Clarke,Drama  Romance  War
37,five feet apart,Justin Baldoni , Cole Sprouse, Haley Lu Richardson,unknown,Romance  Drama
38,the highwaymen,John Lee Hancock , Kevin Costner, Woody Harrelson, Kathy Bates,Crime  Drama  Thriller
39,red 11,Robert Rodriguez , Roby Attal, Lauren Hatfield, Alejandro Rose Garcia,Thriller  Science Fiction
40,never grow old,Ivan Kavanagh , Emile Hirsch, Tim Ahern, Déborah François,Western
41,triple threat,Jesse V. Johnson , Tony Jaa, Iko Uwais, Tiger Chen,Thriller  Action
42,us,Jordan Peele , Lupita Nyong'o, Winston Duke, Shahadi Wright Joseph,Horror
43,hotel mumbai,Anthony Maras , Dev Patel, Armie Hammer, Nazanin Boniadi,History  Drama  Action  Thriller
44,the dirt,Jeff Tremaine , Douglas Booth, Iwan Rheon, Machine Gun Kelly,Drama  Music  History
45,dragged across concrete,S. Craig Zahler , Mel Gibson, Vince Vaughn, Michael Jai White,Crime  Action  Thriller
46,dumbo,Tim Burton , Colin Farrell, Michael Keaton, Danny DeVito,Animation  Family
47,the beach bum,Harmony Korine , Matthew McConaughey, Zac Efron, Jonah Hill,Comedy
48,unplanned,"Chuck Konzelman, Cary Soloman ", Ashley Bratcher, Brooks Ryan, Robia Scott,Drama
0,shazam!,David F. Sandberg , Zachary Levi, Asher Angel, Mark Strong,Action  Comedy  Fantasy
1,pet sematary,"Kevin Kolsch, Dennis Widmyer ", Jason Clarke, Amy Seimetz, John Lithgow,Horror
2,the best of enemies,Robin Bissell , Taraji P. Henson, Sam Rockwell,unknown,Drama  History
3,high life,Claire Denis , Robert Pattinson, Juliette Binoche, André Benjamin,Science Fiction  Drama  Mystery  Thriller
4,unicorn store,Brie Larson , Brie Larson, Samuel L. Jackson, Joan Cusack,Fantasy  Drama  Comedy
5,the haunting of sharon tate,Daniel Farrands , Hilary Duff, Jonathan Bennett, Lydia Hearst,Horror  Thriller
6,the wind,Emma Tammi , Caitlin Gerard, Ashley Zukerman, Julia Goldani Telles,Horror  Western  Thriller
7,the silence,John R. Leonetti , Kiernan Shipka, Stanley Tucci, Miranda Otto,Drama  Thriller  Fantasy  Horror
8,hellboy,Neil Marshall , David Harbour, Milla Jovovich, Ian McShane,Fantasy  Action  Adventure  Science Fiction
9,little,Tina Gordon , Issa Rae, Regina Hall, Marsai Martin,Thriller  Crime
10,missing link,Chris Butler , Hugh Jackman, Zach Galifianakis, Zoe Saldana,Animation  Comedy  Adventure  Fantasy  Family
11,after,Jenny Gage , Josephine Langford, Hero Fiennes Tiffin, Selma Blair,Romance  Drama  Comedy
12,her smell,Alex Ross Perry , Elisabeth Moss, Cara Delevingne, Dan Stevens,Drama  Music
13,breakthrough,Roxann Dawson , Chrissy Metz, Josh Lucas, Topher Grace,Drama
14,penguins,Alastair Fothergill , Ed Helms,unknown,unknown,Family  Animation  Adventure  Comedy
15,the curse of la llorona,Michael Chaves , Linda Cardellini, Raymond Cruz, Patricia Velasquez,Horror  Thriller  Mystery
16,under the silver lake,David Robert Mitchell , Andrew Garfield, Riley Keough, Topher Grace,Crime  Drama  Mystery
17,family,Laura Steinel , Taylor Schilling, Brian Tyree Henry, Bryn Vale,Comedy  Drama
18,fast color,Julia Hart , Gugu Mbatha-Raw, Lorraine Toussaint, Saniyya Sidney,Thriller  Drama  Science Fiction
19,someone great,Jennifer Kaytin Robinson , Gina Rodriguez, Brittany Snow, DeWanda Wise,Comedy  Romance
20,i spit on your grave: deja vu,Meir Zarchi , Camille Keaton, Maria Olsen, Meir Zarchi,Horror  Thriller
21,avengers: endgame,Anthony and Joe Russo , Robert Downey Jr., Chris Evans, Mark Ruffalo,Adventure  Science Fiction  Action
22,i trapped the devil,Josh Lobo , A. J. Bowen, Scott Poythress, Susan Burke,Horror
23,body at brighton rock,Roxanne Benjamin , Karina Fontes, Casey Adams, Emily Althaus,Thriller
24,buffaloed,Tanya Wexler , Zoey Deutch, Jermaine Fowler, Judy Greer,Comedy  Drama  Romance
25,long shot,Jonathan Levine , Seth Rogen, Charlize Theron, O'Shea Jackson Jr.,Comedy  Romance
26,the intruder,Deon Taylor , Dennis Quaid, Michael Ealy, Meagan Good,Thriller
27,uglydolls,Kelly Asbury , Kelly Clarkson, Pitbull, Nick Jonas,Family  Animation  Comedy  Adventure  Fantasy  Music
28,"extremely wicked, shockingly evil and vile",Joe Berlinger , Zac Efron, Lily Collins, Kaya Scodelario,Thriller  Crime  Drama
29,the last summer,William Bindley , KJ Apa, Maia Mitchell, Jacob Latimore,Romance  Comedy
30,pokémon detective pikachu,Rob Letterman , Ryan Reynolds, Justice Smith, Kathryn Newton,Action  Adventure  Fantasy
31,the hustle,Chris Addison , Anne Hathaway, Rebel Wilson, Alex Sharp,Comedy
32,tolkien,Dome Karukoski , Nicholas Hoult, Lily Collins, Colm Meaney,Drama  History  War  Romance
33,poms,Zara Hayes , Diane Keaton, Jacki Weaver, Pam Grier,Comedy  Drama
34,the professor and the madman,unknown, Mel Gibson, Sean Penn, Natalie Dormer,Drama  History  Mystery  Thriller
35,john wick: chapter 3 – parabellum,Chad Stahelski , Keanu Reeves, Halle Berry, Laurence Fishburne,Action  Thriller  Crime
36,a dog's journey,Gail Mancuso , Dennis Quaid, Josh Gad, Marg Helgenberger,Family  Adventure  Drama
37,the sun is also a star,Ry Russo-Young , Yara Shahidi, Charles Melton, John Leguizamo,Romance  Drama
38,the professor,Wayne Roberts , Johnny Depp, Rosemarie DeWitt, Danny Huston,Comedy  Drama
39,the souvenir,Joanna Hogg , Honor Swinton Byrne, Tom Burke, Tilda Swinton,Romance  Drama
40,the tomorrow man,unknown, John Lithgow, Blythe Danner, Derek Cecil,Drama  Romance
41,aladdin,Guy Ritchie , Mena Massoud, Will Smith, Naomi Scott,Adventure  Fantasy  Romance  Family
42,brightburn,David Yarovesky , Elizabeth Banks, David Denman, Jackson A. Dunn,Horror  Thriller  Science Fiction
43,booksmart,Olivia Wilde , Kaitlyn Dever, Beanie Feldstein, Jessica Williams,Comedy
44,the perfection,Richard Shepard , Allison Williams, Logan Browning, Steven Weber,Thriller  Horror  Drama
45,always be my maybe,Nahnatchka Khan , Ali Wong, Randall Park, Daniel Dae Kim,Romance  Comedy
46,godzilla: king of the monsters,Michael Dougherty , Kyle Chandler, Vera Farmiga, Millie Bobby Brown,Science Fiction  Action
47,rocketman,Dexter Fletcher , Taron Egerton, Jamie Bell, Richard Madden,Music  Drama  History
48,ma,Tate Taylor , Octavia Spencer, Juliette Lewis, Diana Silvers,Horror
49,dark phoenix,Simon Kinberg , James McAvoy, Michael Fassbender, Jennifer Lawrence,Science Fiction  Action  Adventure
50,the secret life of pets 2,Chris Renaud , Patton Oswalt, Eric Stonestreet, Kevin Hart,Adventure  Animation  Comedy  Family
51,late night,Nisha Ganatra , Emma Thompson, Mindy Kaling, Max Casella,Comedy  Drama
52,the last black man in san francisco,Joe Talbot , Jimmie Fails, Jonathan Majors, Danny Glover,Drama
53,changeland,Seth Green , Breckin Meyer, Macaulay Culkin, Brenda Song,Comedy  Drama
54,men in black: international,F. Gary Gray , Chris Hemsworth, Tessa Thompson, Kumail Nanjiani,Comedy  Science Fiction
55,shaft,Tim Story , Samuel L. Jackson, Jessie Usher, Richard Roundtree,Action  Crime
56,the dead don't die,Jim Jarmusch , Bill Murray, Adam Driver, Tilda Swinton,Comedy  Horror  Fantasy
57,murder mystery,Kyle Newacheck , Adam Sandler, Jennifer Aniston, Luke Evans,Comedy  Crime  Mystery  Action
58,plus one,"Jeff Chan, Andrew Rhymer ", Maya Erskine, Jack Quaid, Beck Bennett,Romance  Comedy  Drama
59,being frank,Miranda Bailey , Jim Gaffigan, Logan Miller, Samantha Mathis,Comedy
60,toy story 4,Josh Cooley , Tom Hanks, Tim Allen, Annie Potts,Adventure  Animation  Comedy  Family  Fantasy  Drama
61,anna,Luc Besson , Sasha Luss, Helen Mirren, Luke Evans,Thriller  Action
62,child's play,Lars Klevberg , Aubrey Plaza, Gabriel Bateman, Brian Tyree Henry,Horror
63,annabelle comes home,Gary Dauberman , Mckenna Grace, Madison Iseman, Katie Sarife,Horror  Thriller  Mystery
64,yesterday,Danny Boyle , Himesh Patel, Lily James, Ed Sheeran,Music  Comedy  Romance  Fantasy
65,ophelia,Claire McCarthy , Daisy Ridley, Naomi Watts, Clive Owen,Romance  History
66,killers anonymous,Martin Owen , Tommy Flanagan, Rhyon Nicole Brown, Jessica Alba,Action  Thriller  Crime  Mystery
0,spider-man: far from home,Jon Watts , Tom Holland, Samuel L. Jackson, Zendaya,Action  Adventure  Science Fiction
1,escape plan: the extractors,John Herzfeld , Sylvester Stallone, Curtis Jackson, Dave Bautista,Action  Thriller  Crime
2,midsommar,Ari Aster , Florence Pugh, Jack Reynor, William Jackson Harper,Horror  Drama  Mystery
3,stuber,Michael Dowse , Kumail Nanjiani, Dave Bautista, Iko Uwais,Action  Comedy  Thriller  Crime
4,crawl,Alexandre Aja , Kaya Scodelario, Barry Pepper,unknown,Thriller  Horror  Drama
5,point blank,Joe Lynch , Frank Grillo, Anthony Mackie, Marcia Gay Harden,Action  Thriller
6,the farewell,Lulu Wang , Awkwafina, Tzi Ma, Diana Lin,Comedy  Drama
7,darlin',Pollyanna Mcintosh , Pollyanna McIntosh, Cooper Andrews, Nora-Jane Noone,Horror  Mystery
8,the lion king,Jon Favreau , Donald Glover, Seth Rogen, Chiwetel Ejiofor,Family  Animation  Drama
9,once upon a time in hollywood,Quentin Tarantino , Leonardo DiCaprio, Brad Pitt, Margot Robbie,Comedy  Drama  Thriller
10,skin,Guy Nattiv , Jamie Bell, Danielle Macdonald, Daniel Henshall,Drama
11,the red sea diving resort,Gideon Raff , Chris Evans, Haley Bennett, Michael K. Williams,Drama  Thriller  History
12,fast & furious presents: hobbs & shaw,David Leitch , Dwayne Johnson, Jason Statham, Idris Elba,Action  Adventure  Comedy
13,a score to settle,Shawn Ku , Nicolas Cage, Benjamin Bratt,unknown,Action  Thriller  Drama
14,the operative,Yuval Adler , Diane Kruger, Martin Freeman, Cas Anvar,Drama  Thriller
15,dora and the lost city of gold,James Bobin , Isabela Moner, Eugenio Derbez, Michael Peña,Adventure  Comedy  Family
16,the kitchen,Andrea Berloff , Melissa McCarthy, Tiffany Haddish, Elisabeth Moss,Action  Crime  Drama
17,the art of racing in the rain,Simon Curtis , Milo Ventimiglia, Amanda Seyfried, Kathy Baker,Comedy  Drama  Romance
18,scary stories to tell in the dark,André Øvredal , Zoe Colletti, Michael Garza, Gabriel Rush,Horror  Thriller
19,the peanut butter falcon,"Tyler Nilson, Michael Schwartz ", Shia LaBeouf, Dakota Johnson, John Hawkes,Adventure  Drama  Comedy
20,after the wedding,Bart Freundlich , Michelle Williams, Julianne Moore, Billy Crudup,Drama
21,light of my life,Casey Affleck , Casey Affleck, Anna Pniowsky, Tom Bower,Drama  Science Fiction
22,the angry birds movie 2,Thurop Van Orman , Jason Sudeikis, Josh Gad, Leslie Jones,Animation  Comedy  Adventure  Family
23,good boys,Gene Stupnitsky , Jacob Tremblay, Brady Noon, Keith L. Williams,Comedy
24,blinded by the light,Gurinder Chadha , Viveik Kalra, Kulvinder Ghir, Meera Ganatra,Drama  Comedy
25,"where'd you go, bernadette",Richard Linklater , Cate Blanchett, Billy Crudup, Emma Nelson,Drama  Comedy  Mystery
26,47 meters down: uncaged,Johannes Roberts , John Corbett, Nia Long, Sophie Nelisse,Horror
27,gwen,William McGregor , Maxine Peake, Eleanor Worthington Cox, Richard Harrington,Drama  Mystery  Horror  History
28,ready or not,"Matt Bettinelli-Olpin, Tyler Gillett ", Samara Weaving, Adam Brody, Mark O'Brien,Horror  Thriller  Mystery  Comedy
29,angel has fallen,Ric Roman Waugh , Gerard Butler, Morgan Freeman, Jada Pinkett Smith,Action  Thriller
30,brittany runs a marathon,Paul Downs Colaizzo , Jillian Bell, Michaela Watkins, Utkarsh Ambudkar,Drama  Comedy
31,overcomer,Alex Kendrick , Alex Kendrick, Priscilla Shirer, Ben Davies,Drama
32,jacob's ladder,David M. Rosenthal , Michael Ealy, Jesse Williams, Nicole Beharie,Drama  Mystery  Horror
33,burn,Mike Gan , Tilda Cobham-Hervey, Suki Waterhouse, Harry Shum Jr.,Thriller
34,official secrets,Gavin Hood , Keira Knightley, Matt Smith, Matthew Goode,Drama  Thriller  History
35,don't let go,Jacob Aaron Estes , Jacob Aaron Estes, Drew Daywalt (story); David Oyelowo, Storm Reid,Science Fiction  Thriller  Mystery  Crime
36,itsy bitsy,Micah Gallo , Bruce Davison, Denise Crosby, Elizabeth Roberts,Horror  Thriller
37,the fanatic,Fred Durst , John Travolta, Devon Sawa, Ana Golja,Thriller  Crime  Mystery
38,it chapter two,Andy Muschietti , James McAvoy, Jessica Chastain, Bill Hader,Horror  Fantasy
39,satanic panic,Chelsea Stardust , Hayley Griffith, Ruby Modine, Arden Myrin,Horror
40,the obituary of tunde johnson,Ali LeRoi , Steven Silver, Nicola Peltz,unknown,Drama  Thriller
41,the goldfinch,John Crowley , Ansel Elgort, Oakes Fegley, Aneurin Barnard,Drama
42,hustlers,Lorene Scafaria , Constance Wu, Jennifer Lopez, Julia Stiles,Drama  Comedy  Crime
43,the sound of silence,Michael Tyburski , Rashida Jones, Peter Sarsgaard, Tony Revolori,Drama
44,monos,Alejandro Landes , Julianne Nicholson, Moisés Arias,unknown,Drama  Thriller  Adventure
45,tall girl,Nzingha Stewart , Ava Michelle, Griffin Gluck, Luke Eisner,Comedy  Drama  Romance
46,polaroid,Lars Klevberg , Kathryn Prescott, Grace Zabriskie, Samantha Logan,Horror  Thriller  Mystery
47,ad astra,James Gray , Brad Pitt, Tommy Lee Jones, Ruth Negga,Science Fiction  Drama
48,downton abbey,Michael Engler , Hugh Bonneville, Jim Carter, Michelle Dockery,Drama  Romance  History
49,rambo: last blood,Adrian Grunberg , Sylvester Stallone, Adriana Barraza, Paz Vega,Action  Thriller  Drama
50,bloodline,Henry Jacobson , Seann William Scott, Mariela Garriga, Dale Dickey,Thriller  Crime  Horror
51,running with the devil,Jason Cabell , Nicolas Cage, Laurence Fishburne,unknown,Action
52,fractured,Brad Anderson , Sam Worthington, Lily Rabe, Stephen Tobolowsky,Thriller
53,abominable,Jill Culton , Todd Wilderman (co-director); Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor,Family  Animation  Adventure  Comedy
54,the laundromat,Steven Soderbergh , Meryl Streep, Gary Oldman, Antonio Banderas,Drama  Crime  Comedy
55,judy,Rupert Goold , Renée Zellweger, Jessie Buckley, Finn Wittrock,Drama  History  Music
56,prey,Franck Khalfoun , Logan Miller, Kristine Froseth,unknown,Thriller
0,joker,Todd Phillips , Joaquin Phoenix, Robert De Niro, Zazie Beetz,Crime  Thriller  Drama
1,lucy in the sky,Noah Hawley , Natalie Portman, Jon Hamm, Zazie Beetz,Drama
2,dolemite is my name,Craig Brewer , Eddie Murphy, Keegan-Michael Key, Mike Epps,Drama  Comedy  History
3,in the tall grass,Vincenzo Natali , Patrick Wilson, Harrison Gilbertson, Rachel Wilson,Horror  Drama  Thriller
4,low tide,Kevin McMullin , Keean Johnson, Jaeden Martell, Alex Neustaedter,Drama
5,wrinkles the clown,Michael Beach Nichols , Michael Beach Nichols, Christopher K. Walker (screenplay),unknown,Documentary
6,little monsters,Abe Forsythe , Lupita Nyong'o, Alexander England, Josh Gad,Adventure  Fantasy  Comedy  Family
7,gemini man,Ang Lee , Will Smith, Mary Elizabeth Winstead, Clive Owen,Science Fiction  Action  Drama  Thriller
8,the addams family,"Conrad Vernon, Greg Tiernan ", Oscar Isaac, Charlize Theron, Chloë Grace Moretz,Family  Animation  Comedy  Fantasy
9,the king,David Michôd , Timothée Chalamet, Joel Edgerton, Sean Harris,Drama  History  War
10,jexi,unknown, Adam Devine, Rose Byrne, Alexandra Shipp,Comedy
11,el camino: a breaking bad movie,Vince Gilligan , Aaron Paul, Jesse Plemons, Scott MacArthur,Crime  Drama  Thriller  Action
12,maleficent: mistress of evil,Joachim Rønning , Angelina Jolie, Elle Fanning, Michelle Pfeiffer,Family  Fantasy  Adventure
13,zombieland: double tap,Ruben Fleischer , Woody Harrelson, Jesse Eisenberg, Emma Stone,Horror  Action  Comedy
14,jojo rabbit,Taika Waititi , Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson,Comedy  War  Drama
15,the lighthouse,Robert Eggers , Willem Dafoe, Robert Pattinson,unknown,Drama  Fantasy  Thriller  Horror
16,wounds,Babak Anvari , Armie Hammer, Dakota Johnson, Zazie Beetz,Action  Crime  Thriller
17,black and blue,Deon Taylor , Naomie Harris, Tyrese Gibson, Frank Grillo,Action  Thriller
18,the current war,Alfonso Gomez-Rejon , Benedict Cumberbatch, Michael Shannon, Katherine Waterston,Drama  History
19,countdown,Justin Dec , Elizabeth Lail, Peter Facinelli, Anne Winters,Horror  Thriller
20,the kill team,Dan Krauss , Nat Wolff, Alexander Skarsgård,unknown,Drama  Action  Thriller
21,the gallows act ii,"Chris Lofing, Travis Cluff ", Chris Milligan, Ema Horvath, Brittany Falardeau,Horror  Thriller
22,terminator: dark fate,Tim Miller , Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis,Action  Adventure  Science Fiction
23,motherless brooklyn,Edward Norton , Edward Norton, Bruce Willis, Gugu Mbatha-Raw,Drama  Thriller
24,the irishman,Martin Scorsese , Robert De Niro, Al Pacino, Joe Pesci,Crime  Drama  History
25,harriet,Kasi Lemmons , Cynthia Erivo, Leslie Odom Jr., Joe Alwyn,History  Drama
26,arctic dogs,Aaron Woodley , Jeremy Renner, James Franco, Heidi Klum,Animation  Adventure  Comedy
27,marriage story,Noah Baumbach , Scarlett Johansson, Adam Driver, Laura Dern,Drama
28,doctor sleep,Mike Flanagan , Ewan McGregor, Rebecca Ferguson, Kyliegh Curran,Horror  Drama  Fantasy  Thriller
29,last christmas,Paul Feig , Emilia Clarke, Henry Golding, Michelle Yeoh,Comedy  Romance  Drama
30,playing with fire,Andy Fickman , John Cena, Keegan-Michael Key, John Leguizamo,Comedy  Family
31,let it snow,Luke Snellin , Isabela Merced, Shameik Moore, Kiernan Shipka,Romance  Comedy
32,midway,Roland Emmerich , Ed Skrein, Patrick Wilson, Luke Evans,War  History  Action  Drama
33,klaus,Sergio Pablos , J. K. Simmons, Jason Schwartzman, Rashida Jones,Animation  Family  Adventure  Comedy
34,honey boy,Alma Har'el , Shia LaBeouf, Lucas Hedges, Noah Jupe,Drama
35,lady and the tramp,Charlie Bean , Tessa Thompson, Justin Theroux, Kiersey Clemons,Family  Animation  Romance
36,noelle,Marc Lawrence , Anna Kendrick, Bill Hader, Kingsley Ben-Adir,Drama
37,ford v ferrari,James Mangold , Matt Damon, Christian Bale, Jon Bernthal,Drama  Action  History
38,charlie's angels,Elizabeth Banks , Kristen Stewart, Naomi Scott, Ella Balinska,Action  Adventure  Comedy
39,the good liar,Bill Condon , Ian McKellen, Helen Mirren, Russell Tovey,Drama  Mystery  Crime
40,the report,Scott Z. Burns , Adam Driver, Annette Bening, Ted Levine,Drama  Thriller
41,waves,Trey Edward Shults , Kelvin Harrison Jr., Lucas Hedges, Taylor Russell,Romance  Drama
42,frozen ii,"Chris Buck, Jennifer Lee ", Idina Menzel, Kristen Bell, Jonathan Groff,Family  Animation  Adventure  Comedy  Fantasy  Music
43,a beautiful day in the neighborhood,Marielle Heller , Tom Hanks, Matthew Rhys, Susan Kelechi Watson,Drama
44,21 bridges,Brian Kirk , Chadwick Boseman, Sienna Miller, Stephan James,Crime  Action  Drama
45,dark waters,Todd Haynes , Mark Ruffalo, Anne Hathaway, Tim Robbins,Drama  Thriller  History
46,knives out,Rian Johnson , Daniel Craig, Chris Evans, Ana de Armas,Comedy  Crime  Drama
47,queen & slim,Melina Matsoukas , Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine,Drama  Romance  Crime
48,the two popes,Fernando Meirelles , Anthony Hopkins, Jonathan Pryce,unknown,Drama  Comedy  History
49,playmobil: the movie,Lino DiSalvo , Anya Taylor-Joy, Daniel Radcliffe, Gabriel Bateman,Family  Animation  Comedy  Adventure
50,the aeronauts,Tom Harper , Felicity Jones, Eddie Redmayne, Himesh Patel,Adventure  Drama  Romance
51,a million little pieces,Sam Taylor-Johnson , Aaron Taylor-Johnson, Billy Bob Thornton, Odessa Young,Drama
52,daniel isn't real,Adam Egypt Mortimer , Miles Robbins, Patrick Schwarzenegger, Sasha Lane,Fantasy  Horror  Mystery  Thriller
53,jumanji: the next level,Jake Kasdan , Dwayne Johnson, Jack Black, Kevin Hart,Adventure  Comedy  Fantasy
54,richard jewell,Clint Eastwood , Paul Walter Hauser, Sam Rockwell, Kathy Bates,Drama  History  Crime
55,black christmas,Sophia Takal , Imogen Poots, Lily Donoghue, Aleyse Shannon,Horror  Thriller
56,6 underground,Michael Bay , Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo,Action  Thriller
57,bombshell,Jay Roach , Charlize Theron, Nicole Kidman, Margot Robbie,Drama  History
58,uncut gems,unknown, Adam Sandler, Lakeith Stanfield, Julia Fox,Crime  Thriller  Drama
59,seberg,Benedict Andrews , Kristen Stewart, Jack O'Connell, Margaret Qualley,Thriller  Drama
60,a hidden life,Terrence Malick , August Diehl, Valerie Pachner, Matthias Schoenaerts,Drama  War  History
61,star wars: the rise of skywalker,J. J. Abrams , Carrie Fisher, Mark Hamill, Adam Driver,Action  Adventure  Science Fiction
62,cats,Tom Hooper , James Corden, Judi Dench, Jason Derulo,Fantasy  Comedy  Drama
63,togo,Ericson Core , Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl,Adventure  Family
64,spies in disguise,"Nick Bruno, Troy Quane ", Will Smith, Tom Holland, Rashida Jones,Animation  Action  Adventure  Comedy  Family
65,little women,Greta Gerwig , Saoirse Ronan, Emma Watson, Florence Pugh,Drama  Romance
66,1917,Sam Mendes , George MacKay, Dean-Charles Chapman, Mark Strong,War  Drama  Action  Thriller
67,just mercy,Destin Daniel Cretton , Michael B. Jordan, Jamie Foxx, Brie Larson,Drama  Crime  History
68,clemency,Chinonye Chukwu , Alfre Woodard, Wendell Pierce, Aldis Hodge,Drama
0,the grudge,Nicolas Pesce , Andrea Riseborough, Demián Bichir, John Cho,Horror  Mystery  Thriller
1,underwater,William Eubank , Kristen Stewart, Vincent Cassel, Jessica Henwick,Action  Horror  Science Fiction  Thriller
2,like a boss,Miguel Arteta , Tiffany Haddish, Rose Byrne, Salma Hayek,Comedy
3,three christs,Jon Avnet , Richard Gere, Peter Dinklage, Walton Goggins,Drama
4,inherit the viper,Anthony Jerjen , Josh Hartnett, Margarita Levieva, Chandler Riggs,Drama  Thriller  Crime
5,the sonata,Andrew Desmond , Freya Tingley, Simon Abkarian, Rutger Hauer,Horror  Thriller  Mystery
6,the murder of nicole brown simpson,Daniel Farrands , Mena Suvari, Nick Stahl, Taryn Manning,Thriller  Drama  Crime
7,bad boys for life,Adil El Arbi and Bilall Fallah , Will Smith, Martin Lawrence, Vanessa Hudgens,Thriller  Action  Crime
8,dolittle,Stephen Gaghan , Robert Downey Jr., Antonio Banderas, Michael Sheen,Family  Fantasy  Adventure
9,a fall from grace,Tyler Perry , Crystal R. Fox, Phylicia Rashad, Bresha Webb,Thriller
10,the gentlemen,Guy Ritchie , Matthew McConaughey, Charlie Hunnam, Henry Golding,Action  Crime  Comedy
11,the turning,Floria Sigismondi , Mackenzie Davis, Finn Wolfhard, Brooklynn Prince,Horror  Thriller
12,the last full measure,Todd Robinson , Sebastian Stan, Christopher Plummer, William Hurt,War  Drama
13,the night house,David Bruckner , Rebecca Hall, Sarah Goldberg, Stacy Martin,Horror  Thriller
